source_term,target_term,confidence,source,note
机械冲击测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
连接器保持力测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
静电放电抗扰度,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
高加速寿命测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
按键寿命测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
连接器插拔寿命测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
插拔力测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
浪涌抗扰度,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
钢球冲击测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
盐雾测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
功率循环测试,热阻,1.0,suggestion:auto,tags=3; modules=3
砂尘测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
谐波电流发射,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
弯曲测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
扭压测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
电容纹波电流测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
落球冲击测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
连接器插拔力测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
连接器保持力测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
焊点推拉力,焊点IMC,1.0,suggestion:auto,tags=3; modules=3
高温存储测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
盐雾测试,水接触角,1.0,suggestion:auto,tags=3; modules=3
高温存储测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
跌落测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
谐波电流发射,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
电容纹波电流测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
防水测试,机械疲劳寿命,1.0,suggestion:auto,tags=3; modules=3
浪涌抗扰度,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
白噪声测试,声学密封性,1.0,suggestion:auto,tags=3; modules=3
插拔力测试,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
盐雾测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
连接器插拔寿命测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
静电放电抗扰度,热循环寿命,1.0,suggestion:auto,tags=3; modules=3
高加速寿命测试,热插拔次数,1.0,suggestion:auto,tags=3; modules=3
邦定球剪切力,邦定强度,1.0,suggestion:auto,tags=3; modules=2
功能测试,功耗曲线,1.0,suggestion:auto,tags=3; modules=2
OTA测试,接收灵敏度,1.0,suggestion:auto,tags=3; modules=2
OTA性能测试,天线效率,1.0,suggestion:auto,tags=3; modules=2
时序分析,功耗曲线,1.0,suggestion:auto,tags=3; modules=2
传导测试,误码率,1.0,suggestion:auto,tags=3; modules=2
OTA性能测试,接收灵敏度,1.0,suggestion:auto,tags=3; modules=2
振动加速度测试,总谐波失真,1.0,suggestion:auto,tags=3; modules=2
OTA测试,误码率,1.0,suggestion:auto,tags=3; modules=2
启停时间测试,总谐波失真,1.0,suggestion:auto,tags=3; modules=2
传导测试,天线效率,1.0,suggestion:auto,tags=3; modules=2
传导测试,接收灵敏度,1.0,suggestion:auto,tags=3; modules=2
音频-触觉同步测试,总谐波失真,1.0,suggestion:auto,tags=3; modules=2
OTA测试,天线效率,1.0,suggestion:auto,tags=3; modules=2
OTA性能测试,误码率,1.0,suggestion:auto,tags=3; modules=2
金相分析,玻璃化转变温度,1.0,suggestion:auto,tags=3; modules=1
金相分析,吸水率,1.0,suggestion:auto,tags=3; modules=1
金相分析,耐化学药品性,1.0,suggestion:auto,tags=3; modules=1
金相分析,维卡软化温度,1.0,suggestion:auto,tags=3; modules=1
金相分析,热变形温度,1.0,suggestion:auto,tags=3; modules=1
金相分析,透气率,1.0,suggestion:auto,tags=3; modules=1
网络模拟测试,天线效率,1.0,suggestion:auto,tags=3; modules=1
金相分析,熔融温度,1.0,suggestion:auto,tags=3; modules=1
金相分析,透湿率,1.0,suggestion:auto,tags=3; modules=1
网络模拟测试,接收灵敏度,1.0,suggestion:auto,tags=3; modules=1
吞吐量测试,接收灵敏度,1.0,suggestion:auto,tags=3; modules=1
网络模拟测试,误码率,1.0,suggestion:auto,tags=3; modules=1
吞吐量测试,误码率,1.0,suggestion:auto,tags=3; modules=1
吞吐量测试,天线效率,1.0,suggestion:auto,tags=3; modules=1
电容纹波电流测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
连接器保持力测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
ESD抗扰度测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
在线测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
插拔力测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
功能测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,天线效率,1.0,suggestion:auto,tags=2; modules=2
可靠性验收测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,天线效率,1.0,suggestion:auto,tags=2; modules=2
环境应力筛选,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
可靠性增长测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
时序分析,天线效率,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
附着力测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
瞬态温度测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
耐汗液测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
钢球冲击测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
连接器插拔力测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
连接器保持力测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
机械冲击测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
高温存储测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
防水测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
老化测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
白噪声测试,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
三综合测试,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
高加速应力筛选,水接触角,1.0,suggestion:auto,tags=2; modules=2
可靠性鉴定测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
落球冲击测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
插拔力测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
弯曲测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
砂尘测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
声学密封测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
跌落测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
白噪声测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
扭压测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
稳态温度测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
稳定性测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
耐磨测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
三综合测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
加速寿命测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
高加速应力筛选,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
焊点推拉力,拉拔力,1.0,suggestion:auto,tags=2; modules=2
可靠性鉴定测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
板级可靠性,拉拔力,1.0,suggestion:auto,tags=2; modules=2
盐雾测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,拉拔力,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,天线效率,1.0,suggestion:auto,tags=2; modules=2
射频传导骚扰,拉拔力,1.0,suggestion:auto,tags=2; modules=2
高温存储测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
辐射骚扰场强,拉拔力,1.0,suggestion:auto,tags=2; modules=2
连接器耐焊接热测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,天线效率,1.0,suggestion:auto,tags=2; modules=2
耐汗液测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
附着力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器保持力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
瞬态温度测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器插拔力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
稳定性测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
声学密封测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
机械冲击测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
跌落测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
插拔力测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,水接触角,1.0,suggestion:auto,tags=2; modules=2
高温存储测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
钢球冲击测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,硬度,1.0,suggestion:auto,tags=2; modules=2
扭压测试,硬度,1.0,suggestion:auto,tags=2; modules=2
热失重,水接触角,1.0,suggestion:auto,tags=2; modules=2
防水测试,硬度,1.0,suggestion:auto,tags=2; modules=2
弯曲测试,硬度,1.0,suggestion:auto,tags=2; modules=2
跌落测试,硬度,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
钟摆,硬度,1.0,suggestion:auto,tags=2; modules=2
Corner Drop,硬度,1.0,suggestion:auto,tags=2; modules=2
跌落姿态,硬度,1.0,suggestion:auto,tags=2; modules=2
环境应力筛选,时长,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,时长,1.0,suggestion:auto,tags=2; modules=2
可靠性增长测试,时长,1.0,suggestion:auto,tags=2; modules=2
加速寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
ESD,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
烤机,焊点IMC,1.0,suggestion:auto,tags=2; modules=2
瞬态温度测试,时长,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
加速寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
高加速应力筛选,时长,1.0,suggestion:auto,tags=2; modules=2
可靠性鉴定测试,时长,1.0,suggestion:auto,tags=2; modules=2
可靠性验收测试,时长,1.0,suggestion:auto,tags=2; modules=2
Drop Test,硬度,1.0,suggestion:auto,tags=2; modules=2
合盖,硬度,1.0,suggestion:auto,tags=2; modules=2
稳态温度测试,时长,1.0,suggestion:auto,tags=2; modules=2
落球冲击测试,硬度,1.0,suggestion:auto,tags=2; modules=2
砂尘测试,硬度,1.0,suggestion:auto,tags=2; modules=2
机械冲击测试,硬度,1.0,suggestion:auto,tags=2; modules=2
烤机,拉拔力,1.0,suggestion:auto,tags=2; modules=2
钢球冲击测试,硬度,1.0,suggestion:auto,tags=2; modules=2
稳定性测试,时长,1.0,suggestion:auto,tags=2; modules=2
连接器插拔力测试,硬度,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,水接触角,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,水接触角,1.0,suggestion:auto,tags=2; modules=2
邦定球剪切测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
落球冲击测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
弯曲测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
砂尘测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
防水测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
老化测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
扭压测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器保持力测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
稳态温度测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
连接器插拔寿命测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
耐磨测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
高加速寿命测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
热插拔,拉拔力,1.0,suggestion:auto,tags=2; modules=2
电容纹波电流测试,拉拔力,1.0,suggestion:auto,tags=2; modules=2
磕碰,摩擦,1.0,suggestion:auto,tags=2; modules=2
环境应力筛选,水接触角,1.0,suggestion:auto,tags=2; modules=2
可靠性增长测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
可靠性验收测试,水接触角,1.0,suggestion:auto,tags=2; modules=2
电化学阻抗谱,迁移数,1.0,suggestion:auto,tags=2; modules=2
热失重,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
板级可靠性,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
邦定球剪切测试,离子清洁度,1.0,suggestion:auto,tags=2; modules=2
按键寿命测试,时长,1.0,suggestion:auto,tags=2; modules=2
