术语,别名,类别,多标签,备注,来源,创建时间,更新时间,版本
摄像头,相机,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
屏幕,显示屏,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
电池,Battery,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
主板,MB,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
天线,射频天线,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
尾插,充电接口,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
听筒,Receiver,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
麦克风,Mic,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
震动马达,振子,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
电源键,Power Key,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
音量键,Volume Key,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
后盖,Back Cover,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
指纹模组,Fingerprint,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
面容识别模组,Face ID,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
闪光灯,Flash,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
摄像头玻璃,Camera Glass,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
SIM卡座,SIM Tray,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
散热片,Heat Sink,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
导热胶,Thermal Pad,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
NFC天线,NFC,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
无线充电线圈,Wireless Charging Coil,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
传感器模组,Sensor Module,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
死机,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
重启,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
卡顿,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
过热,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
充电慢,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
无法充电,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
信号差,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
无信号,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
拍照模糊,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
对焦失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
漏光,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
偏色,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
触摸不灵敏,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
触摸漂移,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
外放破音,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
听筒无声,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
WiFi连接失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
蓝牙连接失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
GPS定位不准,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
电量显示异常,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
应用闪退,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
系统更新失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
开机缓慢,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
待机耗电快,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
屏幕亮斑,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
屏幕黄斑,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
指纹解锁失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
人脸识别失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
通话杂音,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
通话掉线,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
焊点虚焊,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
物料不良,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
设计缺陷,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
软件兼容性问题,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
驱动异常,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
供应商批次问题,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
老化失效,,根因分析,根因,,migration,2025-09-25T02:35:39.536274,2025-09-25T02:35:39.536274,1
静电损伤(ESD),,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
工艺偏差,,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
装配应力,,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
温度湿度应力,,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
电源纹波过大,,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
射频干扰,,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
结构强度不足,,根因分析,根因,,migration,2025-09-25T02:35:39.537282,2025-09-25T02:35:39.537282,1
AQL,接收质量限;Acceptable Quality Level,工具,测试验证;质量体系,抽样检验的标准，用于来料或出货检验时判定批合格与否。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
BTB连接器,板对板连接器;Board-to-Board Connector,硬件相关,部件;电气连接,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
CABC,内容自适应背光控制;Content Adaptive Backlight Control,软件相关,影像相关;功耗优化,根据显示内容自动调节背光以节省功耗，算法不良会导致屏幕闪烁或亮度异常。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
CCD视觉对位,相机对位;CCD Alignment,制造工艺,摄像头模组;SMT,在贴片或模组组装中，使用工业相机进行高精度位置校准的工艺。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
CMF,"颜色、材料、表面处理;Color,Material,Finishing",结构相关,设计;外观,决定手机外观质感的关键，涉及喷涂、阳极氧化、镀膜等工艺。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Corner Drop,角跌落,测试验证,可靠性;结构相关,手机特定角落着地的跌落测试，用于评估结构最脆弱点的强度。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
CPK,过程能力指数;Process Capability Index,工具,制造工艺;质量体系,衡量生产过程稳定满足规格要求的能力，大于1.33表示过程能力良好。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
DQA,设计质量保证;Design Quality Assurance,组织职责,流程相关;项目相关,在研发阶段介入，确保产品设计满足可靠性、可制造性等质量要求的角色。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Dome片,按键弹片;Metal Dome,硬件相关,部件;人机交互,提供按键手感的关键金属件，失效会导致按键无反应或手感差。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Drop Test,跌落测试,测试验证,可靠性;结构相关,模拟手机意外跌落场景，验证整机结构强度、屏幕和电池等部件的可靠性。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
DSU,动态软件更新;Dynamic System Updates,软件相关,项目相关;工具,Android项目在运行时切换系统镜像的技术，用于软件调试与测试。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
ESD,静电放电;Electro-Static Discharge,测试验证,硬件相关;可靠性,测试手机抵御静电冲击的能力，不合格会导致芯片击穿或功能异常。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
FACA,最终审核纠正措施;Final Audit Corrective Action,流程相关,质量体系;项目相关,在项目量产前，针对开箱审计发现的问题进行闭环管理的流程。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
FPC,柔性电路板;Flexible Printed Circuit,硬件相关,部件;电气连接,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
FPS,帧率;Frames Per Second,影像相关,性能指标;软件相关,衡量界面或游戏流畅度的关键指标，帧率过低会导致卡顿。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Gap,间隙;面差,结构相关,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
HALT,高加速寿命测试;Highly Accelerated Life Test,测试验证,可靠性;研发,通过施加高应力快速激发产品潜在缺陷的测试方法，用于设计阶段。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Hotspot,热点;局部过热,异常现象,硬件相关;可靠性,手机特定区域（如SoC、充电芯片）温度过高，影响用户体验和安全。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
IQC,来料检验;Incoming Quality Control,流程相关,制造工艺;质量体系,对供应商送达的物料进行检验，确保投入生产的物料符合标准。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Lens,镜片;Camera Lens,摄像头模组,部件;影像相关,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
LRA,线性谐振执行器;Linear Resonant Actuator,硬件相关,部件;人机交互,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
MTBF,平均无故障时间;Mean Time Between Failures,工具,可靠性;性能指标,衡量产品可靠性的关键预测指标，通常通过可靠性试验数据计算得出。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
OIS,光学防抖;Optical Image Stabilization,摄像头模组,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
PMP,项目管理计划;Project Management Plan,项目相关,流程相关;组织职责,项目开展的总体指导文件，包含范围、进度、质量、风险等管理计划。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
PVT,生产验证测试;Production Validation Test,项目相关,测试验证;制造工艺,在量产初期进行的测试，验证生产线能否稳定地生产出合格产品。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
SMT,表面贴装技术;Surface Mount Technology,制造工艺,硬件相关;PCB,将电子元器件贴装到PCB上的核心工艺，涉及锡膏印刷、贴片、回流焊。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
UV胶,紫外线固化胶;Ultraviolet Glue,制造工艺,结构相关;粘合剂,用于固定镜头、装饰件等，固化不良会导致脱落或溢胶。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
Vendor,供应商;Supplier,组织职责,流程相关;项目相关,提供手机零部件或服务的厂商，其质量能力直接影响整机质量。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
WLAN,无线局域网;Wireless LAN,硬件相关,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
暗角,边缘暗影;Shading,异常现象,摄像头模组;影像相关,照片四角出现亮度低于中心的现象，与镜头光学设计或组装有关。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
白点,亮点;White Spot,异常现象,硬件相关;显示相关,显示屏上常亮的白色像素点，属于LCD/OLED的坏点的一种。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
包材,包装材料;Packaging Material,结构相关,物料;外观,指手机零售包装盒、内托等，破损、污渍会影响开箱体验。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
爆音,破音;Popping Sound,异常现象,硬件相关;声学,扬声器在特定频率下输出失真，产生刺耳的噼啪声。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
背光,背光模组;Backlight,硬件相关,部件;显示相关,为LCD屏幕提供光源的组件，常见不良有亮度不均、漏光、mura（斑驳）。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
边框,中框;Middle Frame,结构相关,部件;外观,手机的骨架结构，用于固定内部元件，变形或腐蚀会影响整机强度和气密性。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
变砖,无法开机;系统崩溃;Brick,异常现象,软件相关;硬件相关,手机软件系统严重故障，无法正常启动或使用的状态，通常需强制刷机修复。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
波纹,水波纹;Moire,异常现象,显示相关;影像相关,在拍摄特定条纹图案时，因空间频率混叠产生的干扰波纹。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
残胶,胶水残留;Glue Residual,异常现象,制造工艺;外观,在点胶或贴合工艺后，多余的胶水残留在产品表面，影响美观和性能。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
充电口,USB-C接口;Type-C Port,硬件相关,部件;电气连接,负责充电和数据传输，常见不良有端口松动、腐蚀、连接不稳定。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
触点,金手指;Contact Pin,硬件相关,部件;电气连接,电池、屏幕等模块上与主板连接的导电触点，氧化或污染会导致接触不良。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
点胶,打胶;Underfill,制造工艺,结构相关;工艺参数,在芯片底部填充胶水以增强机械强度和耐热性，胶量、路径是关键参数。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
点屏,屏幕点亮;Screen Lighting,测试验证,制造工艺;显示相关,在组装过程中对显示屏进行通电，初步检查显示功能是否正常。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
点压,按压测试;Press Test,测试验证,人机交互;可靠性,对手机按键、屏幕等进行反复按压，测试其机械耐久性。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
电芯,电池芯;Battery Cell,硬件相关,部件;安全相关,电池的核心储能部件，其质量直接决定电池的容量、寿命和安全性。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
断触,触摸失灵;Touch Failure,异常现象,硬件相关;人机交互,触摸屏局部或全部失去响应，可能与TP本身、FPC连接或软件驱动有关。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
断流,网络中断;Network Disconnection,异常现象,硬件相关;软件相关,在使用Wi-Fi或移动数据时，网络连接意外中断又快速恢复的现象。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
钝化,钝化层;Passivation,制造工艺,硬件相关;PCB,在芯片或PCB表面形成保护层，防止腐蚀和短路，损伤会导致可靠性问题。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
多标签,标签;Tag,工具,项目相关;软件相关,用于对问题、物料或知识进行分类和标记的元数据，便于筛选和管理。,import,2025-09-25T02:35:39.537282,2025-09-25T02:37:38.522874,2
TP,Touch Panel;TP;触摸屏,硬件相关,人机交互;部件,负责触控功能，常见故障有失灵、乱点、划线不良。,merged,2025-09-25T02:35:39.530767,2025-09-25T02:38:30.013398,3
扬声器,外放;扬声器;SPK;Speaker,硬件相关,声学;部件,负责声音外放，常见不良有杂音、破音、无声。,merged,2025-09-25T02:35:39.530767,2025-09-25T02:38:30.013398,3
测试术语,测试别名1;测试别名2,测试类别,测试标签1;测试标签2,更新后的定义,test,2025-09-25T02:42:56.279213,2025-09-25T02:42:56.279213,2
批量术语1,别名1;别名2,批量类别,标签1;标签2,批量导入的测试术语1,import,2025-09-25T02:42:56.281467,2025-09-25T02:42:56.281467,1
批量术语2,别名3;别名4,批量类别,标签3;标签4,批量导入的测试术语2,import,2025-09-25T02:42:56.281467,2025-09-25T02:42:56.281467,1
